long	lat	str1	dip1	r1	str2	dip2	r3	mo	exp	mw	code	dip	rake	dip_rake	svg
122.03	9.59	349	12	83	177	78	91	10.82	24	5.989484841	010583B	10	85	10_85	C:\OSGeo4W64\apps\qgis\svg\zfocmech\10_85.svg
124.38	7.18	187	41	61	44	56	113	2.1	24	5.514812863	011583A	40	60	40_60	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_60.svg
120.31	19.66	44	22	-112	247	69	-81	14.03	23	5.398038447	020983B	20	-110	20_-110	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_-110.svg
126.47	5.71	166	32	62	19	62	107	3.19	25	6.302527122	021283A	30	60	30_60	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_60.svg
123.73	8.62	218	21	-52	357	73	-104	11.05	24	5.995574852	021983A	20	-50	20_-50	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_-50.svg
126.68	5.62	170	37	66	18	57	107	3.71	25	6.346249273	022083A	35	65	35_65	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_65.svg
126.76	5.67	155	34	45	25	67	116	6.45	24	5.839706476	031083B	35	45	35_45	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_45.svg
126.52	5.52	154	27	53	13	69	107	1.79	24	5.468568687	031183B	25	55	25_55	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_55.svg
126.96	5.6	160	38	50	26	62	117	6.58	25	6.512150596	031583C	40	50	40_50	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_50.svg
122.62	12.79	36	85	178	126	88	5	7.34	24	5.877130707	031783D	85	180	85_180	C:\OSGeo4W64\apps\qgis\svg\zfocmech\85_180.svg
121.95	12.73	32	77	167	125	78	14	2.1	24	5.514812863	041583E	75	165	75_165	C:\OSGeo4W64\apps\qgis\svg\zfocmech\75_165.svg
127.63	5.96	32	47	124	167	53	59	1.21	24	5.355190247	042283B	45	125	45_125	C:\OSGeo4W64\apps\qgis\svg\zfocmech\45_125.svg
122.51	24.26	194	14	2	102	90	104	6.32	24	5.833811386	042683B	15	0	15_0	C:\OSGeo4W64\apps\qgis\svg\zfocmech\15_0.svg
122.18	15.68	115	18	-5	210	88	-108	5.93	24	5.815369796	050683A	20	-5	20_-5	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_-5.svg
121.34	24.31	150	40	-100	343	51	-81	4.27	24	5.72028525	051083A	40	-100	40_-100	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_-100.svg
122.82	4.37	200	3	-69	359	87	-91	9.96	23	5.298839559	052983A	5	-70	5_-70	C:\OSGeo4W64\apps\qgis\svg\zfocmech\5_-70.svg
120.78	13.9	65	28	54	284	68	107	9.19	24	5.942210341	060183A	30	55	30_55	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_55.svg
122.26	23.77	310	29	122	95	66	74	2.58	25	6.241079804	062183B	30	120	30_120	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_120.svg
122.5	23.74	295	24	115	88	68	79	9.43	25	6.616341128	062483B	25	115	25_115	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_115.svg
122.81	23.05	57	48	-171	322	84	-43	8.86	23	5.264955815	062583D	50	-170	50_-170	C:\OSGeo4W64\apps\qgis\svg\zfocmech\50_-170.svg
122.59	23.57	241	11	67	85	80	94	1.74	24	5.460366166	062583C	10	65	10_65	C:\OSGeo4W64\apps\qgis\svg\zfocmech\10_65.svg
122.63	20.08	332	37	-83	143	53	-95	6.09	24	5.823078195	070383A	35	-85	35_-85	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_-85.svg
126.58	5.57	152	24	46	18	73	107	2.57	25	6.239955416	071483A	25	45	25_45	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_45.svg
126.5	5.61	145	34	49	12	65	114	10.42	24	5.978578479	071583A	35	50	35_50	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_50.svg
126.46	5.51	138	38	31	24	72	124	1.95	24	5.493356408	071683B	40	30	40_30	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_30.svg
127.28	6.27	348	43	-73	145	49	-105	1.52	24	5.421229059	072083A	45	-75	45_-75	C:\OSGeo4W64\apps\qgis\svg\zfocmech\45_-75.svg
122.05	20.5	0	23	-79	168	67	-95	2.85	25	6.269896573	080283A	25	-80	25_-80	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_-80.svg
120.72	18.63	344	63	-20	83	72	-152	6.64	24	5.848112053	081183A	65	-20	65_-20	C:\OSGeo4W64\apps\qgis\svg\zfocmech\65_-20.svg
119.49	15.05	345	34	53	207	63	112	1.84	24	5.476545215	081283A	35	55	35_55	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_55.svg
120.99	18.19	149	35	-146	30	71	-60	8.84	25	6.597634843	081783C	35	-145	35_-145	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_-145.svg
126.68	4.01	183	44	88	6	46	92	6.85	24	5.857127048	082183A	45	90	45_90	C:\OSGeo4W64\apps\qgis\svg\zfocmech\45_90.svg
125.78	8.27	152	82	2	61	88	172	1.24	25	6.02894779	082783A	80	0	80_0	C:\OSGeo4W64\apps\qgis\svg\zfocmech\80_0.svg
122.31	23.77	298	13	139	67	81	80	2.65	24	5.582163916	090783B	15	140	15_140	C:\OSGeo4W64\apps\qgis\svg\zfocmech\15_140.svg
122.16	23.78	299	25	113	94	68	80	3	24	5.618080836	090983A	25	115	25_115	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_115.svg
126.49	7.61	132	62	-24	234	69	-149	8.12	24	5.906370686	091383A	60	-25	60_-25	C:\OSGeo4W64\apps\qgis\svg\zfocmech\60_-25.svg
120.78	18.24	116	52	-167	19	80	-38	2.03	24	5.504997359	091683C	50	-165	50_-165	C:\OSGeo4W64\apps\qgis\svg\zfocmech\50_-165.svg
122.11	23.65	297	14	133	73	80	80	5.06	25	6.436100345	092183A	15	135	15_135	C:\OSGeo4W64\apps\qgis\svg\zfocmech\15_135.svg
121.85	23.57	317	18	157	69	83	73	11.02	24	5.99478773	092383B	20	155	20_155	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_155.svg
121.38	19.87	351	25	55	209	70	105	2.29	24	5.539890322	100483A	25	55	25_55	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_55.svg
122.74	23.6	207	35	99	16	55	84	4.78	23	5.086285264	100783C	35	100	35_100	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_100.svg
127.18	4.16	229	17	98	41	73	88	2.89	23	4.940598562	102283C	15	100	15_100	C:\OSGeo4W64\apps\qgis\svg\zfocmech\15_100.svg
125.96	11.84	130	51	43	9	58	132	1.63	24	5.441458403	110983B	50	45	50_45	C:\OSGeo4W64\apps\qgis\svg\zfocmech\50_45.svg
123.17	4.22	175	15	-119	25	77	-83	2.28	24	5.538623231	111083A	15	-120	15_-120	C:\OSGeo4W64\apps\qgis\svg\zfocmech\15_-120.svg
125.6	6.33	199	39	123	339	58	66	2.01	24	5.502130705	111183A	40	125	40_125	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_125.svg
126.97	6.28	245	19	155	359	82	73	5.58	24	5.797756133	010984A	20	155	20_155	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_155.svg
120.59	21.05	324	22	138	94	75	73	7.11	23	5.2012464	011184B	20	140	20_140	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_140.svg
121.9	24.03	339	54	179	70	89	36	6.49	23	5.174829798	011984A	55	180	55_180	C:\OSGeo4W64\apps\qgis\svg\zfocmech\55_180.svg
123.61	12.28	140	89	1	50	89	179	7.09	24	5.86709749	012484A	90	0	90_0	C:\OSGeo4W64\apps\qgis\svg\zfocmech\90_0.svg
122.29	25.26	269	17	-111	111	75	-84	2.34	24	5.546143905	021384A	15	-110	15_-110	C:\OSGeo4W64\apps\qgis\svg\zfocmech\15_-110.svg
123.86	8.26	193	34	-111	38	58	-76	9.29	26	7.278677143	030584A	35	-110	35_-110	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_-110.svg
120.49	19.11	199	37	-92	21	53	-89	1.55	24	5.426887799	030984A	35	-90	35_-90	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_-90.svg
119.07	5.15	34	28	79	226	62	96	3.86	24	5.691058203	031484A	30	80	30_80	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_80.svg
129.6	25.89	64	53	-36	177	62	-137	10.12	23	5.303453675	031984A	55	-35	55_-35	C:\OSGeo4W64\apps\qgis\svg\zfocmech\55_-35.svg
122.59	23.98	289	19	128	69	75	78	8.8	24	5.929655115	032884A	20	130	20_130	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_130.svg
125.27	4.95	19	26	133	154	71	72	2.98	24	5.616144176	041084B	25	135	25_135	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_135.svg
123.19	8.69	34	20	53	253	74	102	1.69	24	5.45192447	041184A	20	55	20_55	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_55.svg
122.31	24.79	92	38	-68	245	56	-106	8.11	23	5.239347236	041984C	40	-70	40_-70	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_-70.svg
126.08	5.56	46	37	-74	207	54	-102	1.4	24	5.39741869	042084B	35	-75	35_-75	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_-75.svg
126.75	8.99	359	44	96	170	46	84	1.18	24	5.347921338	042284C	45	95	45_95	C:\OSGeo4W64\apps\qgis\svg\zfocmech\45_95.svg
127.28	8.74	183	44	-74	340	49	-105	2.24	24	5.533498679	051584E	45	-75	45_-75	C:\OSGeo4W64\apps\qgis\svg\zfocmech\45_-75.svg
124.84	13.4	166	23	93	343	67	89	2.71	24	5.588646194	060484D	25	95	25_95	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_95.svg
126.86	11.64	173	28	82	2	63	94	8.95	23	5.267882024	060984A	30	80	30_80	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_80.svg
126.17	11.71	179	26	95	354	64	88	2.15	24	5.52162564	061984A	25	95	25_95	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_95.svg
126.89	5.45	193	21	95	8	69	88	6.92	24	5.86007073	071184B	20	95	20_95	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_95.svg
123.6	6.87	248	44	-37	7	65	-127	9.11	23	5.273012251	080284B	45	-35	45_-35	C:\OSGeo4W64\apps\qgis\svg\zfocmech\45_-35.svg
120.95	17.96	347	32	-124	205	64	-71	2.42	24	5.555876911	081284E	30	-125	30_-125	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_-125.svg
126.5	6.35	328	66	22	228	70	154	1.07	24	5.319589185	081884C	65	20	65_20	C:\OSGeo4W64\apps\qgis\svg\zfocmech\65_20.svg
124.55	12.62	206	31	-163	101	81	-60	12.34	23	5.360876773	082084A	30	-165	30_-165	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_-165.svg
122.54	24.45	57	9	-94	241	81	-89	4.98	23	5.098152895	082984A	10	-95	10_-95	C:\OSGeo4W64\apps\qgis\svg\zfocmech\10_-95.svg
125.5	4.62	175	36	116	325	58	73	9.75	23	5.292669744	091684A	35	115	35_115	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_115.svg
120.85	18.35	55	28	117	205	66	76	6.1	24	5.823553223	092284E	30	115	30_115	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_115.svg
123.13	11.74	39	12	123	185	80	84	3.29	24	5.644797265	092684A	10	125	10_125	C:\OSGeo4W64\apps\qgis\svg\zfocmech\10_125.svg
125.72	5.66	39	18	173	135	88	72	7.68	25	6.55690748	102984B	20	175	20_175	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_175.svg
126.4	8.22	309	56	-7	43	84	-146	2.18	24	5.525637662	110284C	55	-5	55_-5	C:\OSGeo4W64\apps\qgis\svg\zfocmech\55_-5.svg
126.29	8.2	234	76	168	327	78	14	4.22	24	5.716874967	110284D	75	170	75_170	C:\OSGeo4W64\apps\qgis\svg\zfocmech\75_170.svg
125.32	10.16	24	57	-173	291	84	-33	3.02	24	5.620004629	111184B	55	-175	55_-175	C:\OSGeo4W64\apps\qgis\svg\zfocmech\55_-175.svg
125.31	10.44	51	77	-166	317	77	-14	2.47	24	5.561797969	111284A	75	-165	75_-165	C:\OSGeo4W64\apps\qgis\svg\zfocmech\75_-165.svg
120.41	17.01	318	39	-37	79	68	-123	2.18	24	5.525637662	111484A	40	-35	40_-35	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_-35.svg
125.56	5.02	172	25	-74	335	66	-97	2.15	27	7.52162564	112084A	25	-75	25_-75	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_-75.svg
126.54	12.07	270	70	-176	179	86	-20	1.94	24	5.49186782	112384E	70	-175	70_-175	C:\OSGeo4W64\apps\qgis\svg\zfocmech\70_-175.svg
125.09	7.45	313	71	-4	45	86	-161	6.9	24	5.859232727	112784A	70	-5	70_-5	C:\OSGeo4W64\apps\qgis\svg\zfocmech\70_-5.svg
121.98	20.24	153	38	-16	256	80	-127	8.82	23	5.263645723	113084B	40	-15	40_-15	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_-15.svg
125.47	5	108	23	-140	340	75	-72	1.24	24	5.362281123	120884B	25	-140	25_-140	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_-140.svg
122.36	20.25	280	27	-152	164	78	-66	10.43	23	5.312189539	121684A	25	-150	25_-150	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_-150.svg
122.34	24.67	62	39	170	159	84	51	2.84	24	5.602212227	122984A	40	170	40_170	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_170.svg
122.73	16.35	209	37	139	333	67	60	3.6	24	5.670868334	011285A	35	140	35_140	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_140.svg
121.91	23.78	34	40	141	156	66	57	1.73	24	5.458697402	011385A	40	140	40_140	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_140.svg
124.95	25.05	36	27	-134	264	71	-70	11.17	23	5.332035449	011585A	25	-135	25_-135	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_-135.svg
122.72	23.32	60	79	178	150	88	11	3.15	24	5.632207036	021885A	80	180	80_180	C:\OSGeo4W64\apps\qgis\svg\zfocmech\80_180.svg
125.99	6.38	79	40	-41	203	65	-122	12.48	23	5.364143057	022385A	40	-40	40_-40	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_-40.svg
126.45	5.7	249	63	159	349	71	28	6.9	24	5.859232727	030785B	65	160	65_160	C:\OSGeo4W64\apps\qgis\svg\zfocmech\65_160.svg
125.55	10.36	229	28	-13	330	84	-118	2.66	24	5.583254424	031185C	30	-15	30_-15	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_-15.svg
123.48	7.61	109	71	15	13	76	160	6.71	25	6.517815013	031885A	70	15	70_15	C:\OSGeo4W64\apps\qgis\svg\zfocmech\70_15.svg
128.82	4.84	5	13	95	179	77	89	1.13	24	5.335385629	040785B	15	95	15_95	C:\OSGeo4W64\apps\qgis\svg\zfocmech\15_95.svg
127.36	4.96	209	54	133	331	54	47	1	24	5.3	041685A	55	135	55_135	C:\OSGeo4W64\apps\qgis\svg\zfocmech\55_135.svg
120.69	15.35	312	42	-41	75	64	-124	2.09	26	6.846764191	042385A	40	-40	40_-40	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_-40.svg
121.22	16.51	332	71	10	239	80	160	1.51	25	6.085984632	042485A	70	10	70_10	C:\OSGeo4W64\apps\qgis\svg\zfocmech\70_10.svg
120.31	15.2	351	61	157	93	70	31	8.34	23	5.247444034	052785A	60	155	60_155	C:\OSGeo4W64\apps\qgis\svg\zfocmech\60_155.svg
127.38	4.79	346	31	62	198	63	106	2.51	25	6.233115814	060485B	30	60	30_60	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_60.svg
127.56	5.63	167	42	73	10	50	105	1.89	24	5.484307869	060885B	40	75	40_75	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_75.svg
122.04	24.57	324	58	-29	71	65	-144	7.72	24	5.891744867	061285A	60	-30	60_-30	C:\OSGeo4W64\apps\qgis\svg\zfocmech\60_-30.svg
127.94	4.74	1	19	71	202	72	96	7.89	23	5.231384669	062185B	20	70	20_70	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_70.svg
124.4	9.27	155	54	-135	35	55	-46	1.56	24	5.428749732	062685A	55	-135	55_-135	C:\OSGeo4W64\apps\qgis\svg\zfocmech\55_-135.svg
121.82	20.72	261	56	-170	165	81	-34	2.39	24	5.552265267	062985A	55	-170	55_-170	C:\OSGeo4W64\apps\qgis\svg\zfocmech\55_-170.svg
126.9	7.98	181	42	67	31	52	109	1.89	24	5.484307869	070185B	40	65	40_65	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_65.svg
124.26	14.89	318	58	4	226	87	148	1.26	24	5.366913697	072485A	60	5	60_5	C:\OSGeo4W64\apps\qgis\svg\zfocmech\60_5.svg
123.53	7.47	292	55	6	198	85	145	4.93	25	6.428564613	080485A	55	5	55_5	C:\OSGeo4W64\apps\qgis\svg\zfocmech\55_5.svg
120.21	17.29	316	70	3	225	88	160	1.81	25	6.138452383	080985D	70	5	70_5	C:\OSGeo4W64\apps\qgis\svg\zfocmech\70_5.svg
122.2	24.42	96	27	-79	264	63	-95	1.8	24	5.47018167	092085A	25	-80	25_-80	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_-80.svg
120.15	13.45	193	57	26	88	69	144	3.42	24	5.656017404	110485A	55	25	55_25	C:\OSGeo4W64\apps\qgis\svg\zfocmech\55_25.svg
125.13	24.11	292	12	158	43	86	79	4.73	24	5.749907427	112685C	10	160	10_160	C:\OSGeo4W64\apps\qgis\svg\zfocmech\10_160.svg
126.34	5.89	180	41	54	44	58	117	5.85	24	5.811437244	011686A	40	55	40_55	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_55.svg
121.79	24.57	53	28	-96	240	62	-87	10.71	24	5.986526314	011686C	30	-95	30_-95	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_-95.svg
120.81	13.71	103	34	-165	1	82	-56	3.78	24	5.684994533	011686E	35	-165	35_-165	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_-165.svg
121.29	19	41	25	99	212	65	86	1.34	25	6.051403199	021986B	25	100	25_100	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_100.svg
122.21	23.74	285	16	125	69	77	80	5.68	24	5.80289889	022786A	15	125	15_125	C:\OSGeo4W64\apps\qgis\svg\zfocmech\15_125.svg
121.43	23.11	226	44	123	3	55	62	8.47	24	5.91858894	032286A	45	125	45_125	C:\OSGeo4W64\apps\qgis\svg\zfocmech\45_125.svg
122.65	24.77	72	45	-141	313	64	-52	2.85	24	5.603229907	032286B	45	-140	45_-140	C:\OSGeo4W64\apps\qgis\svg\zfocmech\45_-140.svg
122.79	24.7	45	73	168	139	79	17	2.62	24	5.578867528	032286C	75	170	75_170	C:\OSGeo4W64\apps\qgis\svg\zfocmech\75_170.svg
122.31	25.03	317	40	-39	79	66	-123	5.35	24	5.785569188	032286D	40	-40	40_-40	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_-40.svg
122.66	24.46	82	20	-94	266	70	-88	12.56	23	5.365993093	032286E	20	-95	20_-95	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_-95.svg
123.24	24.76	248	52	-131	123	54	-50	8.61	23	5.256668768	032286G	50	-130	50_-130	C:\OSGeo4W64\apps\qgis\svg\zfocmech\50_-130.svg
123.07	24.77	270	30	-93	94	60	-88	6.28	23	5.165306429	032586C	30	-95	30_-95	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_-95.svg
125.88	5.89	61	52	144	175	63	44	8.73	23	5.260676162	042886A	50	145	50_145	C:\OSGeo4W64\apps\qgis\svg\zfocmech\50_145.svg
125.47	4.6	271	12	13	169	87	102	4.5	25	6.402141676	050886B	10	15	10_15	C:\OSGeo4W64\apps\qgis\svg\zfocmech\10_15.svg
121.29	23.79	214	45	67	65	49	111	2.37	25	6.216498897	052086A	45	65	45_65	C:\OSGeo4W64\apps\qgis\svg\zfocmech\45_65.svg
126.71	8.94	143	37	46	13	64	118	1.19	24	5.350364641	052886B	35	45	35_45	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_45.svg
123.61	23.39	252	37	97	63	53	84	0.99	24	5.29709013	060286C	35	95	35_95	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_95.svg
126.21	10.14	160	33	61	13	61	108	1.38	25	6.059919391	060386B	35	60	35_60	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_60.svg
122.12	23.4	242	31	122	26	64	72	9.72	23	5.29177751	060486B	30	120	30_120	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_120.svg
124.45	25.46	4	48	-34	119	65	-133	5.13	23	5.10674491	060686C	50	-35	50_-35	C:\OSGeo4W64\apps\qgis\svg\zfocmech\50_-35.svg
121.51	14.86	231	67	158	329	70	24	8.24	23	5.243951474	061286A	65	160	65_160	C:\OSGeo4W64\apps\qgis\svg\zfocmech\65_160.svg
126.91	5.47	23	63	-180	293	90	-27	10.85	24	5.990286492	061786C	65	-180	65_-180	C:\OSGeo4W64\apps\qgis\svg\zfocmech\65_-180.svg
125.39	5.62	147	37	54	9	61	114	5.97	25	6.483982887	061786E	35	55	35_55	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_55.svg
126.2	24.48	196	54	157	300	71	38	13.47	23	5.386245064	071186C	55	155	55_155	C:\OSGeo4W64\apps\qgis\svg\zfocmech\55_155.svg
125.63	5.73	153	26	62	3	67	103	1.96	24	5.494837381	071286B	25	60	25_60	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_60.svg
121.4	24.24	27	40	-111	233	53	-74	2.2	24	5.528281787	073086B	40	-110	40_-110	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_-110.svg
122.5	24.61	125	41	-83	296	49	-96	9.28	23	5.278365317	073186E	40	-85	40_-85	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_-85.svg
120.19	13.95	250	28	-34	11	75	-114	2.09	24	5.513430857	080986A	30	-35	30_-35	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_-35.svg
121.42	22.35	314	42	58	175	55	116	1.67	24	5.448477647	081186B	40	60	40_60	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_60.svg
120.7	19.93	356	37	99	165	54	83	2.82	24	5.600166072	081186C	35	100	35_100	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_100.svg
126.77	8.02	158	40	52	23	59	117	2.07	24	5.510646897	081986A	40	50	40_50	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_50.svg
121.69	20.4	143	24	-17	248	83	-113	10.34	23	5.309680359	101086C	25	-15	25_-15	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_-15.svg
127.48	8.9	158	40	61	14	56	112	3.04	24	5.621915722	102986B	40	60	40_60	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_60.svg
125.41	5.61	146	40	36	27	68	124	3.3	24	5.64567596	102986C	40	35	40_35	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_35.svg
126.62	9.07	143	42	56	6	56	117	4.79	24	5.753557009	110686B	40	55	40_55	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_55.svg
121.85	23.97	210	33	87	33	57	92	1.3	27	7.375962235	111486D	35	85	35_85	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_85.svg
121.66	23.66	274	37	179	5	89	53	5.29	24	5.782303781	111586A	35	180	35_180	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_180.svg
126.9	5.01	192	18	101	1	72	86	10.06	23	5.301731987	121086A	20	100	20_100	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_100.svg
121.01	24.88	303	25	28	187	79	112	5.96	23	5.150164173	121086B	25	30	25_30	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_30.svg
119.4	15.21	348	31	90	168	59	90	6.52	24	5.84283173	122986C	30	90	30_90	C:\OSGeo4W64\apps\qgis\svg\zfocmech\30_90.svg
120.94	23.78	349	27	63	198	66	103	3.99	24	5.700648597	010687A	25	65	25_65	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_65.svg
120.86	19.01	351	72	-3	82	87	-162	1.34	25	6.051403199	021187B	70	-5	70_-5	C:\OSGeo4W64\apps\qgis\svg\zfocmech\70_-5.svg
121.01	18.79	269	48	-128	138	55	-56	2.69	24	5.58650152	022587E	50	-130	50_-130	C:\OSGeo4W64\apps\qgis\svg\zfocmech\50_-130.svg
121.79	23.78	215	46	-60	355	52	-118	9.12	23	5.273329892	041187B	45	-60	45_-60	C:\OSGeo4W64\apps\qgis\svg\zfocmech\45_-60.svg
123.9	8.94	193	37	-124	53	60	-67	5.79	23	5.141785709	041787A	35	-125	35_-125	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_-125.svg
126.46	5.55	358	47	60	218	51	118	5.78	23	5.141285226	042387A	45	60	45_60	C:\OSGeo4W64\apps\qgis\svg\zfocmech\45_60.svg
125.91	6.03	248	60	-157	146	70	-32	1.64	24	5.443229232	042387B	60	-155	60_-155	C:\OSGeo4W64\apps\qgis\svg\zfocmech\60_-155.svg
126.14	6.89	198	71	-8	291	82	-161	11.93	23	5.351093629	042587A	70	-10	70_-10	C:\OSGeo4W64\apps\qgis\svg\zfocmech\70_-10.svg
120.52	16.02	317	44	-35	74	66	-128	2.34	26	6.879477238	042587B	45	-35	45_-35	C:\OSGeo4W64\apps\qgis\svg\zfocmech\45_-35.svg
127.65	4.65	330	37	69	175	56	105	3.3	25	6.312342627	051187C	35	70	35_70	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_70.svg
127.18	7.1	174	21	124	317	73	78	5.55	25	6.462861989	051287A	20	125	20_125	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_125.svg
125.27	8.18	341	67	13	246	78	157	2.87	25	6.271921264	051887D	65	15	65_15	C:\OSGeo4W64\apps\qgis\svg\zfocmech\65_15.svg
125.25	24.34	183	16	38	56	80	103	8.52	23	5.253626397	052187A	15	40	15_40	C:\OSGeo4W64\apps\qgis\svg\zfocmech\15_40.svg
125.29	8.09	250	59	-157	147	70	-33	4.31	24	5.722984847	052387C	60	-155	60_-155	C:\OSGeo4W64\apps\qgis\svg\zfocmech\60_-155.svg
127.64	5.1	154	26	57	10	69	105	1.51	25	6.085984632	060587C	25	55	25_55	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_55.svg
127.52	4.97	183	26	101	352	65	85	6.21	24	5.828727733	060587D	25	100	25_100	C:\OSGeo4W64\apps\qgis\svg\zfocmech\25_100.svg
126.19	10.56	166	18	79	358	72	94	5.66	25	6.468544287	060687A	20	80	20_80	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_80.svg
120.95	20.38	355	35	57	213	61	111	2.69	25	6.253168187	060787A	35	55	35_55	C:\OSGeo4W64\apps\qgis\svg\zfocmech\35_55.svg
121.77	25.08	156	42	-103	354	49	-78	1.53	24	5.423127621	061287A	40	-105	40_-105	C:\OSGeo4W64\apps\qgis\svg\zfocmech\40_-105.svg
126.3	10.34	175	20	78	7	71	94	2.48	25	6.229634454	061487A	20	80	20_80	C:\OSGeo4W64\apps\qgis\svg\zfocmech\20_80.svg
121.36	17.21	115	79	174	206	84	11	8.01	24	5.902421677	061887A	80	175	80_175	C:\OSGeo4W64\apps\qgis\svg\zfocmech\80_175.svg
